"restaurant_name","total_revenue"
"Rasoi Ghar 263","4130.07"
"The Curry Leaf 154","4112.64"
"Rasoi Ghar 250","4065.79"
"Taste of Punjab 248","4061.20"
"Delhi Darbar 198","4029.99"
"Chai & Chat 53","3991.22"
"Rasoi Ghar 188","3982.18"
"Curry Kingdom 206","3953.87"
"Saffron Delight 290","3921.07"
"Mumbai Masala 83","3890.40"
"Rasoi Ghar 13","3882.11"
"Dragon Wok 28","3879.29"
"Curry Kingdom 261","3820.41"
"Golden Spoon 199","3795.31"
"Masala Magic 80","3760.65"
"Spice Villa 166","3753.88"
"Flavours of India 51","3746.74"
"Caf̩ Masaledar 66","3746.02"
"Royal Tandoor 225","3702.71"
"Biryani House 235","3686.64"
"Kolkata Kitchen 240","3650.35"
"Chai & Chat 173","3638.62"
"Chai & Chat 182","3607.14"
"Flavours of India 61","3576.26"
"Burger Factory 265","3560.02"
"Delhi Darbar 254","3526.72"
"Taste of Punjab 280","3497.93"
"Burger Factory 134","3494.25"
"The Curry Leaf 137","3491.64"
"Madras Cafe 48","3476.59"
"Masala Magic 162","3466.00"
"Rasoi Ghar 157","3459.53"
"Taste of Punjab 124","3449.34"
"Annapurna Bhavan 272","3447.26"
"Pizza Junction 20","3411.51"
"Flavours of India 186","3398.63"
"Madras Cafe 109","3397.43"
"Mughal Mahal 229","3393.46"
"Delhi Darbar 9","3387.91"
"Kolkata Kitchen 70","3384.87"
"Bombay Bistro 128","3377.89"
"Chai & Chat 19","3342.24"
"Chai & Chat 26","3329.29"
"Biryani House 138","3294.28"
"Bombay Bistro 211","3284.93"
"Rasoi Ghar 191","3284.28"
"Curry Kingdom 38","3254.68"
"Rasoi Ghar 170","3238.72"
"Curry Kingdom 287","3219.81"
"Saffron Delight 175","3214.93"
"Bombay Bistro 97","3167.79"
"Chai & Chat 17","3156.61"
"Caf̩ Masaledar 102","3135.88"
"Flavours of India 169","3132.70"
"Pizza Junction 256","3077.58"
"Saffron Delight 277","3062.05"
"Chai & Chat 294","3020.34"
"Punjabi Dhaba 190","2962.98"
"Curry Kingdom 187","2892.83"
"Kolkata Kitchen 204","2883.38"
"Madras Cafe 257","2874.00"
"Royal Tandoor 289","2857.70"
"The Curry Leaf 27","2846.15"
"Annapurna Bhavan 32","2814.75"
"Punjabi Dhaba 222","2798.23"
"Spice Villa 121","2757.35"
"Pizza Junction 33","2755.36"
"The Hungry Panda 132","2712.52"
"South Spice 185","2695.82"
"Biryani House 260","2637.30"
"Golden Spoon 270","2633.55"
"Pizza Junction 98","2588.98"
"Saffron Delight 101","2558.36"
"Delhi Darbar 18","2543.11"
"Dragon Wok 180","2531.56"
"Urban Tadka 183","2517.46"
"Caf̩ Masaledar 111","2506.03"
"Mughal Mahal 59","2434.58"
"Curry Kingdom 58","2434.00"
"Pizza Junction 264","2424.52"
"Tandoori Nights 130","2416.39"
"Golden Spoon 275","2374.23"
"The Hungry Panda 125","2361.01"
"Chutney Express 100","2318.46"
"Taste of Punjab 266","2236.04"
"The Curry Leaf 202","2233.16"
"Madras Cafe 141","2221.07"
"The Food Studio 43","2182.36"
"Golden Spoon 171","2138.26"
"Taste of Punjab 160","2134.64"
"Bombay Bistro 87","2129.05"
"Flavours of India 163","2120.49"
"Bombay Bistro 8","2117.14"
"Taste of Punjab 108","2115.30"
"Madras Cafe 14","2105.12"
"The Hungry Panda 119","2079.63"
"South Spice 123","2077.05"
"Kolkata Kitchen 107","2029.09"
"Mughal Mahal 50","2013.08"
"Masala Magic 281","2012.05"
"Pizza Junction 62","1982.68"
"South Spice 227","1919.07"
"Golden Spoon 149","1899.37"
"Delhi Darbar 299","1864.71"
"Saffron Delight 45","1854.71"
"Masala Magic 37","1842.53"
"Dragon Wok 139","1830.72"
"Madras Cafe 6","1827.22"
"Taste of Punjab 110","1825.52"
"Caf̩ Masaledar 105","1820.26"
"Pizza Junction 129","1771.41"
"Annapurna Bhavan 194","1689.42"
"Biryani House 64","1661.39"
"Curry Kingdom 210","1572.84"
"Tandoori Nights 247","1546.11"
"Punjabi Dhaba 11","1506.56"
"Dragon Wok 7","1494.43"
"Taste of Punjab 231","1491.62"
"Mumbai Masala 15","1491.48"
"Royal Tandoor 72","1489.40"
"Chai & Chat 1","1433.17"
"The Curry Leaf 192","1334.08"
"Madras Cafe 298","1295.28"
"Curry Kingdom 144","1287.38"
"Golden Spoon 208","1245.43"
"Delhi Darbar 39","1233.32"
"Chai & Chat 258","1215.24"
"Chai & Chat 82","1187.64"
