"order_id","restaurant_name","delivery_time"
886,"Flavours of India 35",56
1,"Mumbai Masala 252",55
16,"Taste of Punjab 280",55
107,"Golden Spoon 208",55
114,"Urban Tadka 152",55
183,"Biryani House 260",55
227,"Annapurna Bhavan 115",55
245,"Chai & Chat 53",55
253,"Delhi Darbar 155",55
315,"Caf̩ Masaledar 105",55
366,"Kolkata Kitchen 240",55
373,"The Curry Leaf 192",55
390,"Rasoi Ghar 250",55
392,"Golden Spoon 249",55
485,"Delhi Darbar 24",55
527,"Mumbai Masala 244",55
613,"Rasoi Ghar 188",55
644,"Golden Spoon 140",55
646,"Annapurna Bhavan 300",55
658,"Golden Spoon 270",55
705,"Pizza Junction 264",55
786,"Delhi Darbar 254",55
882,"Chai & Chat 53",55
897,"Curry Kingdom 38",55
899,"Mumbai Masala 135",55
923,"Taste of Punjab 108",55
942,"Punjabi Dhaba 112",55
955,"Kolkata Kitchen 56",55
42,"Chai & Chat 17",54
77,"Curry Kingdom 206",54
149,"Golden Spoon 44",54
182,"Delhi Darbar 176",54
199,"The Curry Leaf 193",54
263,"Annapurna Bhavan 218",54
267,"Chai & Chat 200",54
270,"Taste of Punjab 16",54
354,"Bombay Bistro 296",54
375,"Mumbai Masala 146",54
433,"Punjabi Dhaba 276",54
438,"Masala Magic 162",54
536,"Pizza Junction 40",54
572,"Flavours of India 251",54
614,"Saffron Delight 71",54
617,"Masala Magic 63",54
621,"Curry Kingdom 12",54
632,"Masala Magic 80",54
686,"Curry Kingdom 278",54
704,"Urban Tadka 259",54
838,"Golden Spoon 44",54
968,"Delhi Darbar 176",54
33,"Mumbai Masala 135",53
82,"Dragon Wok 84",53
84,"Chutney Express 172",53
96,"Dragon Wok 158",53
115,"Saffron Delight 71",53
150,"Chai & Chat 284",53
242,"The Food Studio 147",53
254,"Golden Spoon 270",53
312,"Bombay Bistro 296",53
333,"Masala Magic 162",53
370,"Pizza Junction 156",53
404,"Pizza Junction 156",53
405,"Delhi Darbar 198",53
420,"Punjabi Dhaba 196",53
426,"Urban Tadka 288",53
446,"Saffron Delight 71",53
535,"Biryani House 239",53
574,"Flavours of India 61",53
624,"Golden Spoon 249",53
653,"Chai & Chat 25",53
676,"Royal Tandoor 54",53
737,"Flavours of India 61",53
756,"Madras Cafe 109",53
788,"The Hungry Panda 119",53
807,"Saffron Delight 212",53
808,"South Spice 227",53
810,"Spice Villa 295",53
821,"Royal Tandoor 72",53
824,"Pizza Junction 40",53
829,"Golden Spoon 293",53
890,"Rasoi Ghar 150",53
908,"Caf̩ Masaledar 165",53
931,"Delhi Darbar 120",53
969,"Biryani House 114",53
49,"Golden Spoon 149",52
85,"Pizza Junction 40",52
165,"Burger Factory 265",52
168,"Madras Cafe 141",52
176,"Annapurna Bhavan 300",52
198,"Madras Cafe 109",52
250,"Mumbai Masala 96",52
274,"Madras Cafe 109",52
287,"Masala Magic 69",52
340,"Madras Cafe 141",52
422,"Mughal Mahal 229",52
466,"Urban Tadka 269",52
667,"Madras Cafe 257",52
669,"South Spice 3",52
745,"Delhi Darbar 24",52
755,"South Spice 93",52
791,"Chutney Express 177",52
799,"The Curry Leaf 137",52
826,"Chai & Chat 214",52
839,"The Hungry Panda 268",52
907,"The Food Studio 86",52
39,"Dragon Wok 28",51
56,"Punjabi Dhaba 112",51
123,"Curry Kingdom 278",51
159,"Punjabi Dhaba 136",51
260,"Pizza Junction 264",51
336,"The Food Studio 94",51
355,"Taste of Punjab 167",51
397,"Golden Spoon 199",51
470,"Tandoori Nights 130",51
482,"Golden Spoon 67",51
560,"Burger Factory 92",51
563,"Pizza Junction 129",51
583,"The Curry Leaf 193",51
631,"Masala Magic 63",51
638,"Rasoi Ghar 263",51
679,"Masala Magic 63",51
714,"Curry Kingdom 91",51
861,"Biryani House 285",51
894,"Royal Tandoor 54",51
937,"Golden Spoon 270",51
959,"Bombay Bistro 211",51
997,"Annapurna Bhavan 300",51
64,"Taste of Punjab 217",50
118,"Taste of Punjab 16",50
140,"Delhi Darbar 174",50
201,"Biryani House 64",50
213,"Golden Spoon 140",50
295,"Delhi Darbar 181",50
309,"Annapurna Bhavan 272",50
385,"Taste of Punjab 267",50
453,"Rasoi Ghar 95",50
489,"Chai & Chat 19",50
497,"Dragon Wok 79",50
537,"Delhi Darbar 176",50
584,"Mumbai Masala 146",50
634,"Delhi Darbar 174",50
722,"Royal Tandoor 143",50
732,"Bombay Bistro 211",50
742,"Biryani House 235",50
759,"Burger Factory 236",50
781,"Bombay Bistro 97",50
854,"The Food Studio 86",50
984,"Annapurna Bhavan 218",50
58,"Delhi Darbar 24",49
98,"Saffron Delight 212",49
167,"Mumbai Masala 30",49
175,"Burger Factory 236",49
226,"Urban Tadka 288",49
331,"Delhi Darbar 174",49
356,"Punjabi Dhaba 196",49
367,"Curry Kingdom 91",49
458,"Taste of Punjab 267",49
510,"Mughal Mahal 50",49
577,"Chai & Chat 26",49
596,"The Hungry Panda 75",49
772,"Annapurna Bhavan 218",49
775,"Pizza Junction 161",49
822,"Delhi Darbar 299",49
834,"Saffron Delight 71",49
871,"Tandoori Nights 130",49
901,"Delhi Darbar 174",49
946,"Annapurna Bhavan 168",49
985,"Biryani House 76",49
44,"Rasoi Ghar 188",48
45,"Tandoori Nights 127",48
63,"Curry Kingdom 116",48
163,"Masala Magic 117",48
266,"Biryani House 133",48
302,"Mumbai Masala 146",48
330,"Spice Villa 295",48
369,"Saffron Delight 277",48
429,"Bombay Bistro 87",48
455,"Caf̩ Masaledar 105",48
462,"Kolkata Kitchen 73",48
496,"Pizza Junction 20",48
531,"Curry Kingdom 261",48
545,"Saffron Delight 212",48
554,"Urban Tadka 269",48
593,"Chai & Chat 60",48
630,"Chutney Express 177",48
640,"Chutney Express 177",48
720,"The Food Studio 90",48
724,"Masala Magic 63",48
751,"Biryani House 285",48
836,"Delhi Darbar 174",48
851,"Pizza Junction 156",48
858,"Delhi Darbar 176",48
862,"Punjabi Dhaba 276",48
910,"Kolkata Kitchen 107",48
928,"Kolkata Kitchen 56",48
936,"The Food Studio 104",48
943,"Urban Tadka 259",48
5,"Bombay Bistro 68",47
37,"Saffron Delight 71",47
59,"Mumbai Masala 226",47
80,"Mumbai Masala 30",47
112,"Golden Spoon 255",47
308,"Chai & Chat 1",47
341,"Caf̩ Masaledar 66",47
409,"Rasoi Ghar 191",47
444,"Taste of Punjab 124",47
507,"Burger Factory 197",47
529,"Golden Spoon 74",47
610,"Annapurna Bhavan 272",47
639,"South Spice 185",47
663,"Pizza Junction 40",47
696,"Taste of Punjab 167",47
712,"Golden Spoon 249",47
743,"Madras Cafe 109",47
764,"Pizza Junction 62",47
767,"Mumbai Masala 96",47
769,"The Food Studio 43",47
797,"Chai & Chat 17",47
823,"The Food Studio 42",47
875,"Rasoi Ghar 13",47
884,"Punjabi Dhaba 233",47
934,"Golden Spoon 67",47
964,"Spice Villa 159",47
972,"Spice Villa 121",47
975,"The Food Studio 86",47
976,"Tandoori Nights 247",47
7,"Delhi Darbar 198",46
40,"Urban Tadka 259",46
89,"Chai & Chat 284",46
188,"Saffron Delight 71",46
237,"Caf̩ Masaledar 232",46
311,"Mumbai Masala 146",46
349,"South Spice 243",46
353,"The Hungry Panda 132",46
454,"Curry Kingdom 210",46
623,"Taste of Punjab 267",46
671,"Taste of Punjab 110",46
726,"Royal Tandoor 225",46
727,"Mumbai Masala 252",46
740,"South Spice 145",46
789,"Pizza Junction 33",46
806,"Annapurna Bhavan 126",46
846,"Flavours of India 51",46
932,"Madras Cafe 6",46
939,"Biryani House 201",46
953,"The Curry Leaf 103",46
